Region,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Tunis ,141,112,121,124,127,124,128,130,133,1140
Nabeul ,115,116,126,124,127,130,129,129,131,1127
Sousse ,107,107,107,109,108,101,104,104,105,952
Monastir ,47,42,43,47,47,48,48,46,47,415
Mahdia,75,67,72,74,74,76,81,81,82,682
Mednine,167,165,166,175,177,179,169,169,150,1517
Gafsa,90,92,89,89,84,85,53,52,52,686
Kasserine,13,13,13,11,13,14,14,14,14,119
Bizerte ,25,27,28,31,32,33,36,37,38,287
Jendouba,37,39,39,40,43,42,26,26,27,319
